date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:28:58	580/580	---M-Z	200	added ('OK')	application/x-javascript	etag:%22244-5e4a9304-6aab930fdab2b5c2;gz%22	http://railwayjobonline.in/js/custom.js	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/js/custom.js	(from http://railwayjobonline.in/index.html)
14:28:58	1561/1561	---M-Z	200	added ('OK')	application/x-javascript	etag:%22619-5e4a9304-a9ebcc4219cf44da;gz%22	http://railwayjobonline.in/js/carouseller.min.js	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/js/carouseller.min.js	(from http://railwayjobonline.in/index.html)
14:28:59	84247/84247	---M-Z	200	added ('OK')	application/x-javascript	etag:%2214917-5e4a9304-7d8cd0ccf2d2ed44;gz%22	http://railwayjobonline.in/js/jquery-2.1.1.min.js	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/js/jquery-2.1.1.min.js	(from http://railwayjobonline.in/index.html)
14:29:01	40269/40269	---M--	200	added ('OK')	image/jpeg	etag:%229d4d-5e4a9304-f7d199c202f9001a;;;%22	http://railwayjobonline.in/images/border.jpg	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/images/border.jpg	(from http://railwayjobonline.in/css/style.css)
14:29:01	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d11e181-b1d6c303894026ad;gz%22	http://railwayjobonline.in/extra-images/jogdetail-subheader-bg.html	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/extra-images/jogdetail-subheader-bg.26.delayed	(from http://railwayjobonline.in/css/style.css)
14:29:01	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d11e181-b1d6c303894026ad;gz%22	http://railwayjobonline.in/images/rating-star.html	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/images/rating-star.html	(from http://railwayjobonline.in/css/style.css)
14:29:02	2457/2457	---M--	404	error ('Not%20Found')	text/html	etag:%22999-5d11e181-b1d6c303894026ad;gz%22	http://railwayjobonline.in/use.fontawesome.com/releases/v5.3.1/css/all.css	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/use.fontawesome.com/releases/v5.3.1/css/all.css	(from http://railwayjobonline.in/index.html)
14:29:06	132591/132591	---M--	200	added ('OK')	image/jpeg	etag:%22205ef-5e4a9304-5623608459fe315f;;;%22	http://railwayjobonline.in/images/services-bg.jpg	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/images/services-bg.jpg	(from http://railwayjobonline.in/css/style.css)
14:29:07	48649/48649	---MCZ	200	added ('OK')	text/css	etag:W/%2210519cfd3206802f58315b877a9beab5%22	https://use.fontawesome.com/releases/v5.3.1/css/all.css	C:/My%20Web%20Sites/railwayonline/use.fontawesome.com/releases/v5.3.1/css/all.css	(from http://railwayjobonline.in/register-form.html)
14:29:09	12661/12661	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2008:59:09%20GMT	http://railwayjobonline.in/indian-recruitment.html	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/indian-recruitment.html	(from http://railwayjobonline.in/index.html)
